Filled container:
0: Coorinates (848, 1) - 1
1810: Coorinates (616, 260) - 260
1811: Complex number (242, 278) - 260
1812: Coorinates (338, 260) - 260
1813: Coorinates (66, 260) - 260
1814: Coorinates (453, 260) - 260
1815: Coorinates (48, 260) - 260
1816: Complex number (332, 159) - 260
1817: Complex number (357, 91) - 260
1818: Complex number (120, 349) - 260
1819: Coorinates (353, 260) - 260
1820: Complex number (278, 242) - 260
1821: Complex number (326, 171) - 260
1822: Coorinates (963, 260) - 260
1823: Complex number (104, 353) - 260
1824: Coorinates (182, 261) - 261
1825: Complex number (211, 304) - 261
1826: Coorinates (711, 261) - 261
1827: Coorinates (537, 261) - 261
1828: Coorinates (213, 261) - 261
1829: Coorinates (851, 261) - 261
1830: Complex number (42, 367) - 261
1831: Complex number (220, 298) - 261
1832: Complex number (359, 86) - 261
1833: Coorinates (989, 261) - 261
1834: Coorinates (429, 261) - 261
1835: Coorinates (728, 262) - 262
1836: Complex number (371, 9) - 262
1837: Coorinates (50, 262) - 262
1838: Coorinates (154, 262) - 262
1839: Complex number (239, 284) - 262
1840: Coorinates (585, 262) - 262
1841: Complex number (339, 150) - 262
1842: Coorinates (224, 262) - 262
1843: Coorinates (73, 262) - 262
1844: Coorinates (395, 262) - 262
1845: Coorinates (477, 262) - 262
1846: Coorinates (623, 262) - 262
1847: Complex number (356, 104) - 262
1848: Complex number (127, 349) - 262
1849: Coorinates (400, 263) - 263
1850: Complex number (370, 44) - 263
1851: Coorinates (357, 263) - 263
1852: Complex number (337, 160) - 263
1853: Coorinates (139, 263) - 263
1854: Complex number (247, 281) - 264
1855: Coorinates (147, 264) - 264
1856: Complex number (321, 191) - 264
1857: Coorinates (374, 264) - 264
1858: Complex number (204, 315) - 265
1859: Complex number (311, 211) - 265
1860: Coorinates (892, 265) - 265
1861: Complex number (226, 299) - 265
1862: Complex number (50, 372) - 265
1863: Coorinates (452, 265) - 265
1864: Complex number (333, 172) - 265
1865: Complex number (273, 259) - 266
1866: Coorinates (122, 266) - 266
1867: Coorinates (252, 266) - 266
1868: Complex number (234, 296) - 266
1869: Complex number (330, 182) - 266
1870: Coorinates (334, 266) - 266
1871: Complex number (187, 327) - 266
1872: Coorinates (285, 266) - 266
1873: Coorinates (906, 266) - 266
1874: Coorinates (787, 266) - 266
1875: Coorinates (410, 266) - 266
1876: Complex number (337, 170) - 266
1877: Complex number (164, 339) - 266
1878: Coorinates (623, 266) - 266
1879: Complex number (159, 342) - 266
1880: Coorinates (301, 267) - 267
1881: Complex number (140, 351) - 267
1882: Coorinates (778, 267) - 267
1883: Coorinates (304, 267) - 267
1884: Coorinates (244, 267) - 267
1885: Complex number (368, 90) - 267
1886: Complex number (89, 367) - 267
1887: Coorinates (221, 267) - 267
1888: Coorinates (657, 268) - 268
1889: Complex number (354, 139) - 268
1890: Complex number (99, 367) - 268
1891: Coorinates (649, 268) - 268
1892: Coorinates (687, 268) - 268
1893: Complex number (289, 246) - 268
1894: Complex number (249, 286) - 268
1895: Complex number (12, 380) - 268
1896: Coorinates (912, 268) - 268
1897: Complex number (263, 274) - 268
1898: Complex number (379, 20) - 268
1899: Coorinates (957, 269) - 269
1900: Coorinates (643, 269) - 269
1901: Coorinates (430, 269) - 269
1902: Complex number (331, 189) - 269
1903: Complex number (291, 246) - 269
1904: Coorinates (163, 269) - 269
1905: Coorinates (300, 269) - 269
1906: Coorinates (910, 270) - 270
1907: Complex number (353, 148) - 270
1908: Complex number (165, 345) - 270
1909: Complex number (373, 84) - 270
1910: Coorinates (838, 270) - 270
1911: Complex number (26, 381) - 270
1912: Coorinates (511, 270) - 270
1913: Coorinates (434, 270) - 270
1914: Complex number (217, 315) - 270
1915: Coorinates (182, 270) - 270
1916: Coorinates (873, 270) - 270
1917: Coorinates (940, 271) - 271
1918: Coorinates (398, 271) - 271
1919: Coorinates (6, 271) - 271
1920: Complex number (216, 317) - 271
1921: Complex number (325, 204) - 271
1922: Complex number (44, 382) - 271
1923: Coorinates (716, 271) - 271
1924: Complex number (43, 383) - 272
1925: Complex number (380, 66) - 272
1926: Complex number (359, 140) - 272
1927: Complex number (324, 208) - 272
1928: Complex number (364, 125) - 272
1929: Complex number (46, 383) - 272
1930: Complex number (148, 356) - 272
1931: Complex number (331, 198) - 272
1932: Coorinates (698, 272) - 272
1933: Complex number (350, 162) - 272
1934: Complex number (340, 183) - 273
1935: Coorinates (116, 273) - 273
1936: Complex number (16, 387) - 273
1937: Coorinates (108, 273) - 273
1938: Complex number (339, 187) - 273
1939: Coorinates (761, 273) - 273
1940: Coorinates (481, 273) - 273
1941: Coorinates (486, 273) - 273
1942: Coorinates (866, 273) - 273
1943: Coorinates (876, 273) - 273
1944: Coorinates (263, 274) - 274
1945: Complex number (374, 105) - 274
1946: Coorinates (624, 274) - 274
1947: Complex number (63, 383) - 274
1948: Complex number (149, 358) - 274
1949: Complex number (373, 110) - 274
1950: Complex number (382, 71) - 274
1951: Coorinates (441, 274) - 274
1952: Coorinates (13, 274) - 274
1953: Complex number (388, 26) - 274
1954: Coorinates (529, 274) - 274
1955: Complex number (388, 21) - 274
1956: Coorinates (852, 275) - 275
1957: Coorinates (887, 275) - 275
1958: Complex number (121, 371) - 275
1959: Coorinates (383, 275) - 275
1960: Coorinates (700, 275) - 275
1961: Complex number (157, 357) - 275
1962: Complex number (386, 54) - 275
1963: Complex number (256, 294) - 275
1964: Complex number (74, 382) - 275
1965: Coorinates (918, 275) - 275
1966: Complex number (170, 352) - 276
1967: Coorinates (189, 276) - 276
1968: Coorinates (96, 276) - 276
1969: Coorinates (657, 276) - 276
1970: Complex number (351, 172) - 276
1971: Coorinates (319, 276) - 276
1972: Complex number (299, 252) - 276
1973: Complex number (390, 21) - 276
1974: Complex number (315, 235) - 277
1975: Coorinates (265, 277) - 277
1976: Coorinates (372, 277) - 277
1977: Coorinates (212, 277) - 277
1978: Complex number (232, 317) - 277
1979: Coorinates (509, 277) - 277
1980: Complex number (193, 342) - 277
1981: Coorinates (289, 277) - 277
1982: Coorinates (865, 277) - 277
1983: Complex number (334, 210) - 278
1984: Coorinates (499, 278) - 278
1985: Complex number (351, 179) - 278
1986: Complex number (195, 342) - 278
1987: Coorinates (248, 278) - 278
1988: Coorinates (572, 278) - 278
1989: Coorinates (961, 278) - 278
1990: Coorinates (834, 278) - 278
1991: Complex number (21, 393) - 278
1992: Complex number (324, 223) - 278
1993: Complex number (305, 249) - 278
1994: Complex number (373, 126) - 278
1995: Coorinates (299, 278) - 278
1996: Coorinates (243, 278) - 278
1997: Coorinates (622, 279) - 279
1998: Coorinates (125, 279) - 279
1999: Complex number (197, 342) - 279
2000: Complex number (83, 386) - 279
2001: Complex number (367, 148) - 279
2002: Coorinates (475, 279) - 279
2003: Coorinates (689, 279) - 279
2004: Coorinates (898, 279) - 279
2005: Coorinates (845, 279) - 279
2006: Coorinates (476, 279) - 279
2007: Coorinates (517, 279) - 279
2008: Coorinates (523, 279) - 279
2009: Complex number (30, 394) - 279
2010: Complex number (378, 117) - 279
2011: Coorinates (445, 279) - 279
2012: Complex number (233, 319) - 279
2013: Coorinates (5, 280) - 280
2014: Complex number (377, 125) - 280
2015: Coorinates (316, 280) - 280
2016: Coorinates (970, 280) - 280
2017: Complex number (9, 397) - 280
2018: Coorinates (129, 280) - 280
2019: Complex number (4, 396) - 280
2020: Complex number (350, 188) - 280
2021: Coorinates (141, 281) - 281
2022: Coorinates (163, 281) - 281
2023: Coorinates (287, 281) - 281
2024: Coorinates (18, 281) - 281
2025: Complex number (379, 124) - 281
2026: Coorinates (384, 281) - 281
2027: Coorinates (361, 281) - 281
2028: Complex number (379, 121) - 281
2029: Complex number (397, 39) - 282
2030: Complex number (288, 277) - 282
2031: Complex number (35, 398) - 282
2032: Coorinates (168, 282) - 282
2033: Coorinates (836, 282) - 282
2034: Complex number (100, 387) - 282
2035: Coorinates (966, 282) - 282
2036: Coorinates (392, 282) - 282
2037: Complex number (362, 170) - 282
2038: Complex number (294, 270) - 282
2039: Coorinates (675, 282) - 282
2040: Coorinates (499, 282) - 282
2041: Coorinates (881, 282) - 282
2042: Coorinates (867, 282) - 282
2043: Coorinates (741, 283) - 283
2044: Complex number (156, 369) - 283
2045: Complex number (363, 171) - 283
2046: Coorinates (92, 283) - 283
2047: Complex number (151, 371) - 283
2048: Coorinates (933, 283) - 283
2049: Coorinates (112, 283) - 283
2050: Coorinates (121, 283) - 283
2051: Complex number (160, 368) - 283
2052: Complex number (344, 207) - 283
2053: Coorinates (691, 283) - 283
2054: Complex number (381, 124) - 283
2055: Complex number (261, 305) - 283
2056: Coorinates (121, 284) - 284
2057: Coorinates (132, 284) - 284
2058: Complex number (275, 294) - 284
2059: Coorinates (32, 284) - 284
2060: Coorinates (18, 284) - 284
2061: Coorinates (464, 284) - 284
2062: Coorinates (884, 284) - 284
2063: Coorinates (380, 284) - 284
2064: Complex number (346, 209) - 285
2065: Coorinates (231, 285) - 285
2066: Coorinates (683, 285) - 285
2067: Complex number (358, 186) - 285
2068: Coorinates (896, 285) - 285
2069: Complex number (358, 188) - 285
2070: Coorinates (462, 285) - 285
2071: Coorinates (809, 285) - 285
2072: Coorinates (990, 285) - 285
2073: Complex number (163, 370) - 285
2074: Complex number (329, 235) - 285
2075: Complex number (391, 99) - 285
2076: Complex number (60, 399) - 285
2077: Complex number (266, 303) - 285
2078: Coorinates (465, 285) - 285
2079: Coorinates (185, 285) - 285
2080: Complex number (382, 132) - 285
2081: Coorinates (478, 285) - 285
2082: Complex number (337, 225) - 286
2083: Coorinates (232, 286) - 286
2084: Complex number (250, 319) - 286
2085: Coorinates (404, 286) - 286
2086: Coorinates (15, 286) - 286
2087: Complex number (65, 402) - 287
2088: Coorinates (248, 287) - 287
2089: Coorinates (229, 287) - 287
2090: Coorinates (588, 287) - 287
2091: Coorinates (437, 287) - 287
2092: Coorinates (76, 287) - 287
2093: Complex number (383, 135) - 287
2094: Coorinates (43, 287) - 287
2095: Complex number (234, 332) - 287
2096: Coorinates (913, 287) - 287
2097: Complex number (334, 232) - 287
2098: Coorinates (731, 287) - 287
2099: Complex number (404, 58) - 288
2100: Coorinates (522, 288) - 288
2101: Complex number (145, 382) - 288
2102: Coorinates (98, 288) - 288
2103: Complex number (319, 254) - 288
2104: Coorinates (189, 288) - 288
2105: Complex number (405, 51) - 288
2106: Complex number (75, 401) - 288
2107: Complex number (330, 241) - 288
2108: Coorinates (632, 288) - 288
2109: Complex number (11, 408) - 288
2110: Coorinates (896, 289) - 289
2111: Coorinates (981, 289) - 289
2112: Complex number (376, 161) - 289
2113: Complex number (335, 235) - 289
2114: Coorinates (156, 289) - 289
2115: Complex number (86, 400) - 289
2116: Coorinates (933, 289) - 289
2117: Coorinates (660, 289) - 289
2118: Complex number (177, 369) - 289
2119: Complex number (314, 263) - 289
2120: Complex number (350, 216) - 290
2121: Coorinates (10, 290) - 290
2122: Complex number (365, 188) - 290
2123: Complex number (323, 254) - 290
2124: Coorinates (105, 290) - 290
2125: Complex number (138, 387) - 290
2126: Coorinates (242, 290) - 290
2127: Coorinates (609, 290) - 290
2128: Coorinates (459, 290) - 290
2129: Complex number (384, 148) - 290
2130: Coorinates (494, 291) - 291
2131: Complex number (400, 98) - 291
2132: Coorinates (695, 291) - 291
2133: Coorinates (873, 291) - 291
2134: Coorinates (698, 291) - 291
2135: Complex number (397, 111) - 291
2136: Complex number (337, 237) - 291
2137: Complex number (398, 110) - 291
2138: Coorinates (925, 291) - 291
2139: Complex number (406, 68) - 291
2140: Coorinates (180, 291) - 291
2141: Coorinates (141, 292) - 292
2142: Complex number (379, 165) - 292
2143: Coorinates (952, 292) - 292
2144: Coorinates (194, 292) - 292
2145: Complex number (407, 73) - 292
2146: Coorinates (753, 292) - 292
2147: Coorinates (281, 292) - 292
2148: Coorinates (391, 293) - 293
2149: Coorinates (180, 293) - 293
2150: Coorinates (663, 293) - 293
2151: Complex number (22, 414) - 293
2152: Coorinates (211, 293) - 293
2153: Coorinates (200, 293) - 293
2154: Complex number (352, 220) - 293
2155: Complex number (415, 2) - 293
2156: Coorinates (312, 293) - 293
2157: Coorinates (154, 293) - 293
2158: Coorinates (634, 293) - 293
2159: Coorinates (731, 293) - 293
2160: Coorinates (299, 293) - 293
2161: Complex number (386, 154) - 293
2162: Coorinates (492, 294) - 294
2163: Coorinates (599, 294) - 294
2164: Coorinates (39, 294) - 294
2165: Coorinates (56, 294) - 294
2166: Complex number (44, 414) - 294
2167: Complex number (287, 301) - 294
2168: Coorinates (971, 294) - 294
2169: Complex number (387, 152) - 294
2170: Coorinates (981, 294) - 294
2171: Complex number (386, 157) - 294
2172: Complex number (168, 381) - 294
2173: Complex number (315, 274) - 295
2174: Coorinates (336, 295) - 295
2175: Coorinates (360, 295) - 295
2176: Coorinates (536, 295) - 295
2177: Complex number (252, 334) - 295
2178: Complex number (263, 324) - 295
2179: Coorinates (779, 295) - 295
2180: Coorinates (824, 295) - 295
2181: Coorinates (518, 295) - 295
2182: Coorinates (780, 295) - 295
2183: Complex number (282, 309) - 295
2184: Coorinates (370, 296) - 296
2185: Complex number (401, 121) - 296
2186: Coorinates (231, 296) - 296
2187: Complex number (236, 346) - 296
2188: Coorinates (599, 296) - 296
2189: Coorinates (982, 297) - 297
2190: Complex number (416, 62) - 297
2191: Complex number (201, 370) - 297
2192: Coorinates (356, 297) - 297
2193: Coorinates (981, 297) - 297
2194: Coorinates (281, 297) - 297
2195: Coorinates (278, 297) - 297
2196: Coorinates (513, 298) - 298
2197: Complex number (378, 187) - 298
2198: Coorinates (603, 298) - 298
2199: Complex number (394, 153) - 298
2200: Complex number (361, 218) - 298
2201: Complex number (291, 306) - 298
2202: Complex number (338, 252) - 298
2203: Coorinates (708, 298) - 298
2204: Complex number (22, 422) - 298
2205: Coorinates (241, 298) - 298
2206: Complex number (420, 58) - 299
2207: Coorinates (706, 299) - 299
2208: Coorinates (846, 299) - 299
2209: Coorinates (536, 299) - 299
2210: Coorinates (998, 299) - 299
2211: Coorinates (113, 299) - 299
2212: Coorinates (552, 299) - 299
2213: Complex number (326, 270) - 299
2214: Complex number (106, 410) - 299
2215: Coorinates (184, 300) - 300
2216: Coorinates (846, 300) - 300
2217: Complex number (365, 218) - 300
2218: Complex number (227, 359) - 300
2219: Coorinates (87, 300) - 300
2220: Coorinates (488, 300) - 300
2221: Complex number (388, 172) - 300
2222: Complex number (237, 352) - 300
2223: Complex number (393, 160) - 300
2224: Complex number (20, 424) - 300
2225: Complex number (424, 24) - 300
2226: Complex number (243, 350) - 301
2227: Coorinates (970, 301) - 301
2228: Complex number (191, 381) - 301
2229: Coorinates (36, 301) - 301
2230: Complex number (253, 344) - 301
2231: Coorinates (926, 301) - 301
2232: Coorinates (800, 302) - 302
2233: Coorinates (545, 302) - 302
2234: Complex number (385, 188) - 302
2235: Complex number (411, 119) - 302
2236: Complex number (63, 423) - 302
2237: Complex number (44, 426) - 302
2238: Coorinates (144, 302) - 302
2239: Coorinates (131, 302) - 302
2240: Complex number (260, 340) - 302
2241: Complex number (276, 327) - 302
2242: Complex number (380, 198) - 302
2243: Coorinates (511, 302) - 302
2244: Coorinates (58, 303) - 303
2245: Coorinates (558, 303) - 303
2246: Complex number (185, 388) - 303
2247: Coorinates (960, 303) - 303
2248: Coorinates (454, 303) - 303
2249: Complex number (55, 425) - 303
2250: Coorinates (712, 303) - 303
2251: Complex number (143, 405) - 303
2252: Coorinates (769, 303) - 303
2253: Coorinates (895, 303) - 303
2254: Coorinates (994, 303) - 303
2255: Complex number (93, 419) - 303
2256: Coorinates (562, 303) - 303
2257: Complex number (104, 417) - 303
2258: Coorinates (718, 304) - 304
2259: Complex number (423, 84) - 304
2260: Complex number (318, 290) - 304
2261: Complex number (200, 381) - 304
2262: Complex number (153, 403) - 304
2263: Coorinates (891, 304) - 304
2264: Complex number (245, 354) - 304
2265: Coorinates (701, 304) - 304
2266: Coorinates (817, 304) - 304
2267: Complex number (427, 51) - 304
2268: Coorinates (355, 305) - 305
2269: Coorinates (579, 305) - 305
2270: Coorinates (92, 305) - 305
2271: Complex number (74, 426) - 305
2272: Complex number (142, 408) - 305
2273: Complex number (293, 317) - 305
2274: Complex number (133, 411) - 305
2275: Coorinates (376, 305) - 305
2276: Coorinates (196, 306) - 306
2277: Coorinates (456, 306) - 306
2278: Complex number (296, 317) - 306
2279: Complex number (167, 400) - 306
2280: Coorinates (604, 306) - 306
2281: Complex number (408, 145) - 306
2282: Complex number (9, 434) - 306
2283: Coorinates (330, 306) - 306
2284: Coorinates (893, 306) - 306
2285: Coorinates (76, 306) - 306
2286: Complex number (290, 324) - 307
2287: Coorinates (949, 307) - 307
2288: Complex number (434, 37) - 307
2289: Coorinates (343, 307) - 307
2290: Coorinates (939, 307) - 307
2291: Complex number (434, 15) - 307
2292: Coorinates (405, 308) - 308
2293: Coorinates (323, 308) - 308
2294: Complex number (414, 136) - 308
2295: Complex number (172, 401) - 308
2296: Complex number (393, 189) - 308
2297: Coorinates (53, 308) - 308
2298: Complex number (299, 317) - 308
2299: Coorinates (427, 308) - 308
2300: Coorinates (44, 308) - 308
2301: Coorinates (910, 308) - 308
2302: Coorinates (269, 308) - 308
2303: Complex number (182, 396) - 308
2304: Coorinates (119, 309) - 309
2305: Complex number (415, 140) - 309
2306: Complex number (367, 239) - 309
2307: Complex number (411, 152) - 309
2308: Complex number (438, 15) - 309
2309: Coorinates (955, 309) - 309
2310: Coorinates (722, 310) - 310
2311: Complex number (261, 354) - 310
2312: Complex number (307, 314) - 310
2313: Complex number (381, 217) - 310
2314: Complex number (334, 284) - 310
2315: Coorinates (104, 311) - 311
2316: Coorinates (30, 311) - 311
2317: Complex number (250, 362) - 311
2318: Coorinates (773, 311) - 311
2319: Coorinates (895, 311) - 311
2320: Complex number (412, 155) - 311
2321: Complex number (425, 114) - 311
2322: Coorinates (763, 311) - 311
2323: Complex number (439, 39) - 311
2324: Complex number (440, 3) - 311
2325: Coorinates (981, 311) - 311
2326: Complex number (21, 442) - 312
2327: Coorinates (164, 312) - 312
2328: Coorinates (387, 312) - 312
2329: Complex number (415, 152) - 312
2330: Coorinates (580, 312) - 312
2331: Complex number (431, 100) - 312
2332: Coorinates (671, 312) - 312
2333: Complex number (404, 182) - 313
2334: Coorinates (400, 313) - 313
2335: Complex number (431, 101) - 313
2336: Complex number (379, 231) - 313
2337: Complex number (414, 160) - 313
2338: Coorinates (171, 313) - 313
2339: Coorinates (595, 313) - 313
2340: Coorinates (724, 314) - 314
2341: Complex number (443, 31) - 314
2342: Complex number (115, 430) - 314
2343: Coorinates (823, 314) - 314
2344: Coorinates (52, 314) - 314
2345: Complex number (8, 444) - 314
2346: Coorinates (106, 314) - 314
2347: Coorinates (485, 314) - 314
2348: Complex number (150, 419) - 314
2349: Complex number (106, 432) - 314
2350: Coorinates (173, 314) - 314
2351: Complex number (173, 410) - 314
2352: Complex number (325, 305) - 315
2353: Coorinates (206, 315) - 315
2354: Coorinates (744, 315) - 315
2355: Coorinates (646, 315) - 315
2356: Coorinates (24, 315) - 315
2357: Complex number (444, 44) - 315
2358: Complex number (179, 409) - 315
2359: Coorinates (408, 315) - 315
2360: Coorinates (669, 315) - 315
2361: Coorinates (841, 315) - 315
2362: Coorinates (300, 315) - 315
2363: Coorinates (393, 315) - 315
2364: Coorinates (781, 315) - 315
2365: Complex number (336, 293) - 315
2366: Coorinates (7, 316) - 316
2367: Complex number (398, 206) - 316
2368: Complex number (439, 87) - 316
2369: Coorinates (152, 316) - 316
2370: Coorinates (487, 316) - 316
2371: Complex number (446, 43) - 316
2372: Coorinates (361, 316) - 316
2373: Coorinates (945, 316) - 316
2374: Complex number (349, 280) - 316
2375: Complex number (449, 17) - 317
2376: Complex number (293, 341) - 317
2377: Complex number (138, 427) - 317
2378: Complex number (277, 353) - 317
2379: Coorinates (481, 317) - 317
2380: Complex number (442, 78) - 317
2381: Complex number (395, 213) - 317
2382: Complex number (402, 199) - 317
2383: Coorinates (727, 317) - 317
2384: Coorinates (685, 317) - 317
2385: Complex number (379, 242) - 317
2386: Coorinates (922, 317) - 317
2387: Coorinates (738, 317) - 317
2388: Complex number (196, 404) - 317
2389: Coorinates (292, 317) - 317
2390: Complex number (340, 296) - 318
2391: Coorinates (137, 318) - 318
2392: Complex number (342, 293) - 318
2393: Coorinates (68, 318) - 318
2394: Coorinates (824, 318) - 318
2395: Complex number (331, 305) - 318
2396: Complex number (78, 443) - 318
2397: Coorinates (591, 318) - 318
2398: Complex number (442, 92) - 319
2399: Coorinates (698, 319) - 319
2400: Complex number (431, 135) - 319
2401: Coorinates (243, 319) - 319
2402: Coorinates (123, 319) - 319
2403: Complex number (264, 366) - 319
2404: Complex number (324, 316) - 320
2405: Complex number (436, 125) - 320
2406: Complex number (279, 359) - 321
2407: Coorinates (60, 321) - 321
2408: Complex number (213, 401) - 321
2409: Coorinates (562, 321) - 321
2410: Complex number (362, 276) - 321
2411: Complex number (403, 211) - 321
2412: Complex number (1, 455) - 321
2413: Complex number (274, 362) - 321
2414: Coorinates (399, 321) - 321
2415: Coorinates (392, 322) - 322
2416: Coorinates (752, 322) - 322
2417: Complex number (297, 347) - 322
2418: Coorinates (792, 322) - 322
2419: Coorinates (588, 322) - 322
2420: Complex number (388, 240) - 322
2421: Coorinates (741, 322) - 322
2422: Complex number (311, 333) - 322
2423: Complex number (431, 151) - 322
2424: Coorinates (777, 322) - 322
2425: Complex number (434, 142) - 322
2426: Coorinates (309, 322) - 322
2427: Coorinates (621, 322) - 322
2428: Complex number (148, 432) - 322
2429: Coorinates (474, 322) - 322
2430: Complex number (181, 420) - 323
2431: Complex number (179, 421) - 323
2432: Complex number (449, 91) - 323
2433: Complex number (104, 445) - 323
2434: Complex number (441, 123) - 323
2435: Coorinates (59, 323) - 323
2436: Complex number (458, 26) - 324
2437: Coorinates (494, 324) - 324
2438: Coorinates (66, 324) - 324
2439: Coorinates (323, 324) - 324
2440: Complex number (406, 215) - 324
2441: Coorinates (863, 324) - 324
2442: Complex number (458, 28) - 324
2443: Complex number (427, 169) - 324
2444: Complex number (313, 336) - 324
2445: Coorinates (696, 324) - 324
2446: Coorinates (685, 324) - 324
2447: Coorinates (517, 324) - 324
2448: Complex number (397, 234) - 325
2449: Complex number (222, 404) - 325
2450: Complex number (212, 408) - 325
2451: Complex number (285, 361) - 325
2452: Complex number (273, 370) - 325
2453: Complex number (450, 98) - 325
2454: Coorinates (277, 325) - 325
2455: Coorinates (124, 325) - 325
2456: Coorinates (827, 326) - 326
2457: Complex number (344, 309) - 326
2458: Complex number (142, 439) - 326
2459: Coorinates (452, 326) - 326
2460: Complex number (71, 456) - 326
2461: Complex number (437, 148) - 326
2462: Complex number (360, 290) - 326
2463: Coorinates (790, 326) - 326
2464: Complex number (295, 355) - 326
2465: Complex number (359, 291) - 326
2466: Complex number (381, 261) - 326
2467: Coorinates (39, 326) - 326
2468: Coorinates (289, 327) - 327
2469: Coorinates (803, 327) - 327
2470: Complex number (449, 113) - 327
2471: Coorinates (107, 327) - 327
2472: Coorinates (653, 327) - 327
2473: Coorinates (602, 327) - 327
2474: Complex number (434, 162) - 327
2475: Complex number (233, 400) - 327
2476: Complex number (461, 44) - 327
2477: Complex number (460, 53) - 327
2478: Complex number (105, 451) - 327
2479: Complex number (455, 94) - 328
2480: Coorinates (680, 328) - 328
2481: Coorinates (401, 328) - 328
2482: Complex number (241, 397) - 328
2483: Coorinates (286, 328) - 328
2484: Coorinates (647, 328) - 328
2485: Coorinates (976, 328) - 328
2486: Coorinates (787, 328) - 328
2487: Complex number (465, 32) - 329
2488: Complex number (461, 68) - 329
2489: Coorinates (364, 329) - 329
2490: Complex number (463, 47) - 329
2491: Complex number (457, 94) - 329
2492: Coorinates (43, 329) - 329
2493: Coorinates (252, 329) - 329
2494: Coorinates (203, 329) - 329
2495: Coorinates (499, 329) - 329
2496: Coorinates (557, 329) - 329
2497: Coorinates (864, 329) - 329
2498: Complex number (168, 435) - 329
2499: Coorinates (470, 330) - 330
2500: Complex number (430, 183) - 330
2501: Complex number (98, 457) - 330
2502: Complex number (433, 177) - 330
2503: Coorinates (696, 330) - 330
2504: Coorinates (557, 330) - 330
2505: Complex number (422, 202) - 330
2506: Coorinates (226, 330) - 330
2507: Coorinates (348, 330) - 330
2508: Coorinates (446, 330) - 330
2509: Complex number (372, 282) - 330
2510: Complex number (405, 232) - 330
2511: Complex number (198, 424) - 330
2512: Coorinates (515, 330) - 330
2513: Coorinates (310, 330) - 330
2514: Coorinates (659, 330) - 330
2515: Coorinates (748, 331) - 331
2516: Complex number (468, 14) - 331
2517: Complex number (234, 406) - 331
2518: Complex number (466, 53) - 331
2519: Complex number (465, 64) - 331
2520: Complex number (227, 410) - 331
2521: Complex number (463, 73) - 331
2522: Coorinates (728, 331) - 331
2523: Complex number (456, 111) - 331
2524: Complex number (326, 336) - 331
2525: Coorinates (9, 331) - 331
2526: Complex number (354, 307) - 331
2527: Complex number (236, 406) - 332
2528: Coorinates (729, 332) - 332
2529: Coorinates (5, 332) - 332
2530: Complex number (466, 58) - 332
2531: Complex number (139, 449) - 332
2532: Complex number (313, 351) - 332
2533: Complex number (205, 423) - 332
2534: Complex number (334, 330) - 332
2535: Complex number (134, 450) - 332
2536: Coorinates (804, 332) - 332
2537: Complex number (415, 225) - 333
2538: Coorinates (57, 333) - 333
2539: Complex number (174, 439) - 333
2540: Coorinates (61, 333) - 333
2541: Complex number (231, 411) - 333
2542: Complex number (11, 471) - 333
2543: Coorinates (906, 333) - 333
2544: Coorinates (421, 333) - 333
2545: Complex number (473, 10) - 334
2546: Coorinates (135, 334) - 334
2547: Coorinates (177, 334) - 334
2548: Complex number (69, 468) - 334
2549: Coorinates (283, 334) - 334
2550: Coorinates (26, 334) - 334
2551: Coorinates (29, 334) - 334
2552: Complex number (452, 138) - 334
2553: Complex number (159, 446) - 334
2554: Coorinates (217, 334) - 334
2555: Complex number (275, 385) - 334
2556: Coorinates (191, 335) - 335
2557: Complex number (180, 439) - 335
2558: Complex number (465, 93) - 335
2559: Complex number (241, 409) - 335
2560: Complex number (85, 467) - 335
2561: Complex number (469, 75) - 335
2562: Coorinates (997, 335) - 335
2563: Complex number (181, 439) - 335
2564: Complex number (133, 456) - 335
2565: Complex number (109, 462) - 335
2566: Complex number (257, 398) - 335
2567: Complex number (231, 415) - 335
2568: Complex number (401, 253) - 335
2569: Coorinates (860, 335) - 335
2570: Complex number (207, 427) - 335
2571: Coorinates (758, 336) - 336
2572: Complex number (474, 36) - 336
2573: Coorinates (450, 336) - 336
2574: Complex number (475, 19) - 336
2575: Coorinates (411, 336) - 336
2576: Coorinates (61, 336) - 336
2577: Coorinates (553, 336) - 336
2578: Complex number (475, 42) - 337
2579: Complex number (427, 213) - 337
2580: Complex number (347, 327) - 337
2581: Coorinates (796, 337) - 337
2582: Coorinates (941, 337) - 337
2583: Coorinates (858, 338) - 338
2584: Complex number (289, 381) - 338
2585: Complex number (472, 81) - 338
2586: Coorinates (715, 338) - 338
2587: Complex number (286, 384) - 338
2588: Coorinates (951, 338) - 338
2589: Complex number (76, 472) - 338
2590: Complex number (175, 446) - 338
2591: Complex number (11, 479) - 338
2592: Coorinates (517, 338) - 338
2593: Complex number (289, 381) - 338
2594: Complex number (292, 382) - 339
2595: Coorinates (563, 339) - 339
2596: Coorinates (211, 339) - 339
2597: Coorinates (531, 339) - 339
2598: Complex number (404, 259) - 339
2599: Complex number (136, 461) - 339
2600: Coorinates (468, 339) - 339
2601: Coorinates (439, 339) - 339
2602: Coorinates (255, 339) - 339
2603: Coorinates (426, 339) - 339
2604: Coorinates (900, 339) - 339
2605: Complex number (475, 67) - 339
2606: Coorinates (902, 339) - 339
